Frame,X position (pixels),Y position (pixels),Intensity,Fit Radius
18,150.85,111.85,17657,0.77969
18,107.56,119.93,8649.1,0.97229
18,133.35,125.51,12849,1.0742
18,145.76,127.93,12560,0.82923
18,127.73,128.62,12447,0.77215
18,118.89,138.3,10665,0.97321
18,131.37,139.96,9449.9,0.67106
18,188.61,145.49,9675.4,1.1995
18,130.34,149.08,27794,1.0243
18,171.92,149.85,5823,0.37907
18,95.703,152.19,13434,0.86043
18,142,155.56,19493,0.83364
18,226.06,157.07,14506,0.96779
18,134.01,173.42,10590,0.96097
18,127.62,149.04,8321.3,1.4699
18,174.85,93.226,14775,1.9478
18,185.71,111.55,10939,2.6643
18,113.43,113.19,13146,2.0639
18,38.931,114.37,8704.6,2.3199
18,131.25,114.85,11443,1.4695
18,139.28,166.8,12767,2.4948
18,108.9,132.1,5877.8,0.35832
18,146.91,103.18,6833.1,1.3618
18,85.029,155.61,8371.1,0.95951
18,185.17,54.355,5237.9,2.5642
18,189.82,102.61,11377,1.7166
18,150.41,115.78,9002,0.70668
18,122.83,159.07,9310.4,2.7702
19,175.28,93.183,12639,1.3772
19,199.51,98.766,8882.8,0.9822
19,150.88,111.98,23619,0.91782
19,131.51,115.16,11531,1.9554
19,167.48,117.51,16718,0.84695
19,169.99,114.37,10516,1.0926
19,185.04,54.616,11080,1.0949
19,143.96,77.903,6119,1.0269
19,107.7,97.859,9124.2,0.88266
19,148.59,103.97,10240,1.0518
19,191.56,110.76,31634,0.82191
19,150.89,115.22,17891,1.047
19,107.53,119.44,12999,0.84062
19,142.88,122.02,14977,1.2666
19,136.11,130.05,14324,0.82857
19,101.45,148.16,12730,1.3708
19,130.57,149.06,29994,0.93236
19,225.81,157,5748.2,0.55995
19,184.66,48.412,7628.9,0.43342
19,141.38,64.45,8371.6,2.1152
